term,code,preferred_term,category
"Abnormalities, Congenital",D000013,Congenital Abnormalities,diseases
Birth Defects,D000013,Congenital Abnormalities,diseases
Birth Defect,D000013,Congenital Abnormalities,diseases
"Defect, Birth",D000013,Congenital Abnormalities,diseases
Congenital Defects,D000013,Congenital Abnormalities,diseases
Congenital Defect,D000013,Congenital Abnormalities,diseases
"Defect, Congenital",D000013,Congenital Abnormalities,diseases
"Defects, Congenital",D000013,Congenital Abnormalities,diseases
Deformities,D000013,Congenital Abnormalities,diseases
Deformity,D000013,Congenital Abnormalities,diseases
Fetal Anomalies,D000013,Congenital Abnormalities,diseases
"Anomaly, Fetal",D000013,Congenital Abnormalities,diseases
Fetal Anomaly,D000013,Congenital Abnormalities,diseases
Fetal Malformations,D000013,Congenital Abnormalities,diseases
Fetal Malformation,D000013,Congenital Abnormalities,diseases
"Malformation, Fetal",D000013,Congenital Abnormalities,diseases
"Abnormalities, Drug-Induced",D000014,"Abnormalities, Drug-Induced",diseases
"Abnormalities, Drug Induced",D000014,"Abnormalities, Drug-Induced",diseases
Drug-Induced Abnormalities,D000014,"Abnormalities, Drug-Induced",diseases
"Abnormality, Drug-Induced",D000014,"Abnormalities, Drug-Induced",diseases
Drug Induced Abnormalities,D000014,"Abnormalities, Drug-Induced",diseases
Drug-Induced Abnormality,D000014,"Abnormalities, Drug-Induced",diseases
"Abnormalities, Multiple",D000015,"Abnormalities, Multiple",diseases
Multiple Abnormalities,D000015,"Abnormalities, Multiple",diseases
"Abnormalities, Radiation-Induced",D000016,"Abnormalities, Radiation-Induced",diseases
"Abnormalities, Radiation Induced",D000016,"Abnormalities, Radiation-Induced",diseases
Radiation-Induced Abnormalities,D000016,"Abnormalities, Radiation-Induced",diseases
"Abnormality, Radiation-Induced",D000016,"Abnormalities, Radiation-Induced",diseases
Radiation Induced Abnormalities,D000016,"Abnormalities, Radiation-Induced",diseases
Radiation-Induced Abnormality,D000016,"Abnormalities, Radiation-Induced",diseases
ABO Blood-Group System,D000017,ABO Blood-Group System,drugs
ABO Blood Group System,D000017,ABO Blood-Group System,drugs
"Blood-Group System, ABO",D000017,ABO Blood-Group System,drugs
"System, ABO Blood-Group",D000017,ABO Blood-Group System,drugs
ABH Blood Group,D000017,ABO Blood-Group System,drugs
"Blood Group, ABH",D000017,ABO Blood-Group System,drugs
H Blood Group,D000017,ABO Blood-Group System,drugs
"Blood Group, H",D000017,ABO Blood-Group System,drugs
H Blood Group System,D000017,ABO Blood-Group System,drugs
ABO Blood Group,D000017,ABO Blood-Group System,drugs
"Blood Group, ABO",D000017,ABO Blood-Group System,drugs
ABO Factors,D000017,ABO Blood-Group System,drugs
"Factors, ABO",D000017,ABO Blood-Group System,drugs
Blood Group H Type 1 Antigen,D000017,ABO Blood-Group System,drugs
Abortifacient Agents,D000019,Abortifacient Agents,drugs
"Agents, Abortifacient",D000019,Abortifacient Agents,drugs
Abortifacients,D000019,Abortifacient Agents,drugs
"Contraceptive Agents, Postconception",D000019,Abortifacient Agents,drugs
"Agents, Postconception Contraceptive",D000019,Abortifacient Agents,drugs
Postconception Contraceptive Agents,D000019,Abortifacient Agents,drugs
Abortifacient Effect,D000019,Abortifacient Agents,drugs
"Effect, Abortifacient",D000019,Abortifacient Agents,drugs
Abortifacient Effects,D000019,Abortifacient Agents,drugs
"Effects, Abortifacient",D000019,Abortifacient Agents,drugs
"Abortifacient Agents, Nonsteroidal",D000020,"Abortifacient Agents, Nonsteroidal",drugs
"Agents, Nonsteroidal Abortifacient",D000020,"Abortifacient Agents, Nonsteroidal",drugs
Nonsteroidal Abortifacient Agents,D000020,"Abortifacient Agents, Nonsteroidal",drugs
"Abortifacient Agents, Non-Steroidal",D000020,"Abortifacient Agents, Nonsteroidal",drugs
"Abortifacient Agents, Non Steroidal",D000020,"Abortifacient Agents, Nonsteroidal",drugs
"Agents, Non-Steroidal Abortifacient",D000020,"Abortifacient Agents, Nonsteroidal",drugs
Non-Steroidal Abortifacient Agents,D000020,"Abortifacient Agents, Nonsteroidal",drugs
"Abortifacient Agents, Steroidal",D000021,"Abortifacient Agents, Steroidal",drugs
"Agents, Steroidal Abortifacient",D000021,"Abortifacient Agents, Steroidal",drugs
Steroidal Abortifacient Agents,D000021,"Abortifacient Agents, Steroidal",drugs
Steroid Abortifacients,D000021,"Abortifacient Agents, Steroidal",drugs
"Abortifacients, Steroid",D000021,"Abortifacient Agents, Steroidal",drugs
"Abortion, Spontaneous",D000022,"Abortion, Spontaneous",diseases
"Abortions, Spontaneous",D000022,"Abortion, Spontaneous",diseases
Spontaneous Abortions,D000022,"Abortion, Spontaneous",diseases
Spontaneous Abortion,D000022,"Abortion, Spontaneous",diseases
"Abortion, Tubal",D000022,"Abortion, Spontaneous",diseases
"Abortions, Tubal",D000022,"Abortion, Spontaneous",diseases
Tubal Abortion,D000022,"Abortion, Spontaneous",diseases
Tubal Abortions,D000022,"Abortion, Spontaneous",diseases
Miscarriage,D000022,"Abortion, Spontaneous",diseases
Miscarriages,D000022,"Abortion, Spontaneous",diseases
Early Pregnancy Loss,D000022,"Abortion, Spontaneous",diseases
Early Pregnancy Losses,D000022,"Abortion, Spontaneous",diseases
"Loss, Early Pregnancy",D000022,"Abortion, Spontaneous",diseases
"Losses, Early Pregnancy",D000022,"Abortion, Spontaneous",diseases
"Pregnancy Loss, Early",D000022,"Abortion, Spontaneous",diseases
"Pregnancy Losses, Early",D000022,"Abortion, Spontaneous",diseases
"Abortion, Eugenic",D000025,"Abortion, Eugenic",treatments
"Abortions, Eugenic",D000025,"Abortion, Eugenic",treatments
Eugenic Abortions,D000025,"Abortion, Eugenic",treatments
Eugenic Abortion,D000025,"Abortion, Eugenic",treatments
"Abortion, Selective",D000025,"Abortion, Eugenic",treatments
"Abortions, Selective",D000025,"Abortion, Eugenic",treatments
Selective Abortions,D000025,"Abortion, Eugenic",treatments
Selective Abortion,D000025,"Abortion, Eugenic",treatments
"Abortion, Habitual",D000026,"Abortion, Habitual",diseases
Habitual Abortion,D000026,"Abortion, Habitual",diseases
Habitual Abortions,D000026,"Abortion, Habitual",diseases
Recurrent Early Pregnancy Loss,D000026,"Abortion, Habitual",diseases
"Abortion, Recurrent",D000026,"Abortion, Habitual",diseases
Recurrent Abortion,D000026,"Abortion, Habitual",diseases
Recurrent Abortions,D000026,"Abortion, Habitual",diseases
"Miscarriage, Recurrent",D000026,"Abortion, Habitual",diseases
Recurrent Miscarriage,D000026,"Abortion, Habitual",diseases
Recurrent Miscarriages,D000026,"Abortion, Habitual",diseases
"Abortion, Incomplete",D000027,"Abortion, Incomplete",diseases
"Abortions, Incomplete",D000027,"Abortion, Incomplete",diseases
Incomplete Abortion,D000027,"Abortion, Incomplete",diseases
Incomplete Abortions,D000027,"Abortion, Incomplete",diseases
"Miscarriage, Missed",D000027,"Abortion, Incomplete",diseases
"Miscarriages, Missed",D000027,"Abortion, Incomplete",diseases
Missed Miscarriage,D000027,"Abortion, Incomplete",diseases
Missed Miscarriages,D000027,"Abortion, Incomplete",diseases
"Abortion, Induced",D000028,"Abortion, Induced",treatments
Abortion (Induced),D000028,"Abortion, Induced",treatments
Abortions (Induced),D000028,"Abortion, Induced",treatments
Induced Abortion,D000028,"Abortion, Induced",treatments
"Abortions, Induced",D000028,"Abortion, Induced",treatments
Induced Abortions,D000028,"Abortion, Induced",treatments
Abortion Rate,D000028,"Abortion, Induced",treatments
Abortion Rates,D000028,"Abortion, Induced",treatments
"Rate, Abortion",D000028,"Abortion, Induced",treatments
"Rates, Abortion",D000028,"Abortion, Induced",treatments
"Abortion, Drug-Induced",D000028,"Abortion, Induced",treatments
"Abortion, Drug Induced",D000028,"Abortion, Induced",treatments
"Abortions, Drug-Induced",D000028,"Abortion, Induced",treatments
Drug-Induced Abortion,D000028,"Abortion, Induced",treatments
Drug-Induced Abortions,D000028,"Abortion, Induced",treatments
"Abortion, Rivanol",D000028,"Abortion, Induced",treatments
"Abortions, Rivanol",D000028,"Abortion, Induced",treatments
Rivanol Abortion,D000028,"Abortion, Induced",treatments
Rivanol Abortions,D000028,"Abortion, Induced",treatments
"Abortion, Saline-Solution",D000028,"Abortion, Induced",treatments
"Abortion, Saline Solution",D000028,"Abortion, Induced",treatments
"Abortions, Saline-Solution",D000028,"Abortion, Induced",treatments
Saline-Solution Abortion,D000028,"Abortion, Induced",treatments
Saline-Solution Abortions,D000028,"Abortion, Induced",treatments
Anti-Abortion Groups,D000028,"Abortion, Induced",treatments
Anti-Abortion Group,D000028,"Abortion, Induced",treatments
Anti Abortion Groups,D000028,"Abortion, Induced",treatments
"Group, Anti-Abortion",D000028,"Abortion, Induced",treatments
"Groups, Anti-Abortion",D000028,"Abortion, Induced",treatments
Embryotomy,D000028,"Abortion, Induced",treatments
Embryotomies,D000028,"Abortion, Induced",treatments
"Fertility Control, Postconception",D000028,"Abortion, Induced",treatments
Postconception Fertility Control,D000028,"Abortion, Induced",treatments
Abortion Techniques,D000028,"Abortion, Induced",treatments
Abortion Technique,D000028,"Abortion, Induced",treatments
"Technique, Abortion",D000028,"Abortion, Induced",treatments
"Techniques, Abortion",D000028,"Abortion, Induced",treatments
Abortion Technics,D000028,"Abortion, Induced",treatments
Abortion Technic,D000028,"Abortion, Induced",treatments
"Technic, Abortion",D000028,"Abortion, Induced",treatments
"Technics, Abortion",D000028,"Abortion, Induced",treatments
"Abortion, Soap-Solution",D000028,"Abortion, Induced",treatments
"Abortion, Soap Solution",D000028,"Abortion, Induced",treatments
"Abortions, Soap-Solution",D000028,"Abortion, Induced",treatments
Soap-Solution Abortion,D000028,"Abortion, Induced",treatments
Soap-Solution Abortions,D000028,"Abortion, Induced",treatments
Previous Abortion,D000028,"Abortion, Induced",treatments
"Abortion, Previous",D000028,"Abortion, Induced",treatments
"Abortions, Previous",D000028,"Abortion, Induced",treatments
Previous Abortions,D000028,"Abortion, Induced",treatments
Abortion History,D000028,"Abortion, Induced",treatments
Abortion Histories,D000028,"Abortion, Induced",treatments
"Histories, Abortion",D000028,"Abortion, Induced",treatments
"History, Abortion",D000028,"Abortion, Induced",treatments
Abortion Failure,D000028,"Abortion, Induced",treatments
Abortion Failures,D000028,"Abortion, Induced",treatments
"Failure, Abortion",D000028,"Abortion, Induced",treatments
"Failures, Abortion",D000028,"Abortion, Induced",treatments
"Abortion, Legal",D000029,"Abortion, Legal",treatments
"Abortions, Legal",D000029,"Abortion, Legal",treatments
Legal Abortion,D000029,"Abortion, Legal",treatments
Legal Abortions,D000029,"Abortion, Legal",treatments
Abortion on Demand,D000029,"Abortion, Legal",treatments
"Abortion, Missed",D000030,"Abortion, Missed",diseases
"Abortions, Missed",D000030,"Abortion, Missed",diseases
Missed Abortion,D000030,"Abortion, Missed",diseases
Missed Abortions,D000030,"Abortion, Missed",diseases
"Abortion, Septic",D000031,"Abortion, Septic",diseases
"Abortions, Septic",D000031,"Abortion, Septic",diseases
Septic Abortions,D000031,"Abortion, Septic",diseases
Septic Abortion,D000031,"Abortion, Septic",diseases
"Abortion, Therapeutic",D000032,"Abortion, Therapeutic",treatments
Therapeutic Abortion,D000032,"Abortion, Therapeutic",treatments
"Abortions, Therapeutic",D000032,"Abortion, Therapeutic",treatments
Therapeutic Abortions,D000032,"Abortion, Therapeutic",treatments
"Abortion, Threatened",D000033,"Abortion, Threatened",diseases
Threatened Abortion,D000033,"Abortion, Threatened",diseases
Threatened Abortions,D000033,"Abortion, Threatened",diseases
Threatened Miscarriage,D000033,"Abortion, Threatened",diseases
"Miscarriage, Threatened",D000033,"Abortion, Threatened",diseases
Threatened Miscarriages,D000033,"Abortion, Threatened",diseases
"Abortion, Veterinary",D000034,"Abortion, Veterinary",diseases
Veterinary Abortion,D000034,"Abortion, Veterinary",diseases
"Abortions, Veterinary",D000034,"Abortion, Veterinary",diseases
Veterinary Abortions,D000034,"Abortion, Veterinary",diseases
Abrin,D000036,Abrin,drugs
Abrin A,D000036,Abrin,drugs
Abrin C,D000036,Abrin,drugs
Abruptio Placentae,D000037,Abruptio Placentae,diseases
Placental Abruption,D000037,Abruptio Placentae,diseases
"Abruption, Placental",D000037,Abruptio Placentae,diseases
"Abruptions, Placental",D000037,Abruptio Placentae,diseases
Placental Abruptions,D000037,Abruptio Placentae,diseases
Abscess,D000038,Abscess,diseases
Abscesses,D000038,Abscess,diseases
Peritonsillar Abscess,D000039,Peritonsillar Abscess,diseases
"Abscesses, Peritonsillar",D000039,Peritonsillar Abscess,diseases
Peritonsillar Abscesses,D000039,Peritonsillar Abscess,diseases
"Abscess, Peritonsillar",D000039,Peritonsillar Abscess,diseases
Abscisic Acid,D000040,Abscisic Acid,drugs
Abscissins,D000040,Abscisic Acid,drugs
Abscissic Acid,D000040,Abscisic Acid,drugs
"2,4-Pentadienoic acid, 5-(1-hydroxy-2,6,6-trimethyl-4-oxo-2-cyclohexen-1-yl)-3-methyl-, (S-(Z,E))-",D000040,Abscisic Acid,drugs
"Abscisic Acid, (R)-Isomer",D000040,Abscisic Acid,drugs
"Abscisic Acid, (E,Z)-(+,-)-Isomer",D000040,Abscisic Acid,drugs
"Abscisic Acid, (E,E)-(+-)-Isomer",D000040,Abscisic Acid,drugs
"Abscisic Acid Monoammonium Salt, (R)-Isomer",D000040,Abscisic Acid,drugs
"Abscisic Acid, (Z,E)-Isomer",D000040,Abscisic Acid,drugs
"Abscisic Acid, (+,-)-Isomer",D000040,Abscisic Acid,drugs
Acantholysis,D000051,Acantholysis,diseases
Acantholyses,D000051,Acantholysis,diseases
Acanthosis Nigricans,D000052,Acanthosis Nigricans,diseases
Acanthosis Nigrican,D000052,Acanthosis Nigricans,diseases
"Nigrican, Acanthosis",D000052,Acanthosis Nigricans,diseases
"Nigricans, Acanthosis",D000052,Acanthosis Nigricans,diseases
Acebutolol,D000070,Acebutolol,drugs
Acetobutolol,D000070,Acebutolol,drugs
Sectral,D000070,Acebutolol,drugs
Monitan,D000070,Acebutolol,drugs
M&B-17803 A,D000070,Acebutolol,drugs
M&B 17803 A,D000070,Acebutolol,drugs
M&B17803 A,D000070,Acebutolol,drugs
M & B 17803A,D000070,Acebutolol,drugs
Acebutolol Hydrochloride,D000070,Acebutolol,drugs
Apo-Acebutolol,D000070,Acebutolol,drugs
ApoAcebutolol,D000070,Acebutolol,drugs
Apo Acebutolol,D000070,Acebutolol,drugs
Neptal,D000070,Acebutolol,drugs
Novo-Acebutolol,D000070,Acebutolol,drugs
NovoAcebutolol,D000070,Acebutolol,drugs
Novo Acebutolol,D000070,Acebutolol,drugs
Prent,D000070,Acebutolol,drugs
Rhotral,D000070,Acebutolol,drugs
Acedapsone,D000072,Acedapsone,drugs
"4',4'''-Sulfonylbis(acetanilide)",D000072,Acedapsone,drugs
"4,4'-Diacetyldiaminodiphenylsulfone",D000072,Acedapsone,drugs
"4,4' Diacetyldiaminodiphenylsulfone",D000072,Acedapsone,drugs
Acetyldiphenazonum,D000072,Acedapsone,drugs
DADDS,D000072,Acedapsone,drugs
Diacetyldapsone,D000072,Acedapsone,drugs
Sulfadiamine,D000072,Acedapsone,drugs
Rodilone,D000072,Acedapsone,drugs
Hansolar,D000072,Acedapsone,drugs
Acenaphthenes,D000073,Acenaphthenes,drugs
Acenocoumarol,D000074,Acenocoumarol,drugs
Acenocoumarin,D000074,Acenocoumarol,drugs
Nicoumalone,D000074,Acenocoumarol,drugs
Sinthrome,D000074,Acenocoumarol,drugs
Sinkumar,D000074,Acenocoumarol,drugs
Sintrom,D000074,Acenocoumarol,drugs
Mini-Sintrom,D000074,Acenocoumarol,drugs
MiniSintrom,D000074,Acenocoumarol,drugs
Mini Sintrom,D000074,Acenocoumarol,drugs
Syncoumar,D000074,Acenocoumarol,drugs
Syncumar,D000074,Acenocoumarol,drugs
Synthrom,D000074,Acenocoumarol,drugs
Acepromazine,D000075,Acepromazine,drugs
Acetazine,D000075,Acepromazine,drugs
Acetopromazine,D000075,Acepromazine,drugs
Acetylpromazine,D000075,Acepromazine,drugs
Acepromazine Maleate,D000075,Acepromazine,drugs
"Maleate, Acepromazine",D000075,Acepromazine,drugs
Calmivet,D000075,Acepromazine,drugs
Plegicil,D000075,Acepromazine,drugs
Vetranquil,D000075,Acepromazine,drugs
Acetaldehyde,D000079,Acetaldehyde,drugs
Ethanal,D000079,Acetaldehyde,drugs
Acetals,D000080,Acetals,drugs
Acetal,D000080,Acetals,drugs
Acetamides,D000081,Acetamides,drugs
Acetaminophen,D000082,Acetaminophen,drugs
N-Acetyl-p-aminophenol,D000082,Acetaminophen,drugs
Acetamidophenol,D000082,Acetaminophen,drugs
Acetominophen,D000082,Acetaminophen,drugs
APAP,D000082,Acetaminophen,drugs
p-Acetamidophenol,D000082,Acetaminophen,drugs
p-Hydroxyacetanilide,D000082,Acetaminophen,drugs
Paracetamol,D000082,Acetaminophen,drugs
Hydroxyacetanilide,D000082,Acetaminophen,drugs
N-(4-Hydroxyphenyl)acetanilide,D000082,Acetaminophen,drugs
Algotropyl,D000082,Acetaminophen,drugs
Acamol,D000082,Acetaminophen,drugs
Anacin-3,D000082,Acetaminophen,drugs
Anacin3,D000082,Acetaminophen,drugs
Anacin 3,D000082,Acetaminophen,drugs
Datril,D000082,Acetaminophen,drugs
Panadol,D000082,Acetaminophen,drugs
Tylenol,D000082,Acetaminophen,drugs
Acetaco,D000082,Acetaminophen,drugs
Acephen,D000082,Acetaminophen,drugs
Acetanilides,D000083,Acetanilides,drugs
N-Phenylacetamides,D000083,Acetanilides,drugs
Acetylanilines,D000083,Acetanilides,drugs
Acetate Kinase,D000084,Acetate Kinase,drugs
"Kinase, Acetate",D000084,Acetate Kinase,drugs
Acetokinase,D000084,Acetate Kinase,drugs
Acetates,D000085,Acetates,drugs
Acetate,D000085,Acetates,drugs
Acetic Acid Esters,D000085,Acetates,drugs
"Esters, Acetic Acid",D000085,Acetates,drugs
Acetic Acids,D000085,Acetates,drugs
"Acids, Acetic",D000085,Acetates,drugs
Acetazolamide,D000086,Acetazolamide,drugs
"Acetazolamide Sodium, (Sterile)",D000086,Acetazolamide,drugs
Diamox,D000086,Acetazolamide,drugs
Diacarb,D000086,Acetazolamide,drugs
Diuramide,D000086,Acetazolamide,drugs
"Acetazolamide, Monosodium Salt",D000086,Acetazolamide,drugs
Défiltran,D000086,Acetazolamide,drugs
Edemox,D000086,Acetazolamide,drugs
Glauconox,D000086,Acetazolamide,drugs
Glaupax,D000086,Acetazolamide,drugs
Huma-Zolamide,D000086,Acetazolamide,drugs
HumaZolamide,D000086,Acetazolamide,drugs
Huma Zolamide,D000086,Acetazolamide,drugs
Acetadiazol,D000086,Acetazolamide,drugs
Acetazolam,D000086,Acetazolamide,drugs
Ak-Zol,D000086,Acetazolamide,drugs
AkZol,D000086,Acetazolamide,drugs
Ak Zol,D000086,Acetazolamide,drugs
Apo-Acetazolamide,D000086,Acetazolamide,drugs
ApoAcetazolamide,D000086,Acetazolamide,drugs
Apo Acetazolamide,D000086,Acetazolamide,drugs
Acetic Anhydrides,D000089,Acetic Anhydrides,drugs
"Anhydrides, Acetic",D000089,Acetic Anhydrides,drugs
Acetoacetates,D000090,Acetoacetates,drugs
Acetohexamide,D000092,Acetohexamide,drugs
Dymelor,D000092,Acetohexamide,drugs
Dimelor,D000092,Acetohexamide,drugs
Gamadiabet,D000092,Acetohexamide,drugs
Acetoin,D000093,Acetoin,drugs
Acetylmethylcarbinol,D000093,Acetoin,drugs
3-hydroxy-2-butanone,D000093,Acetoin,drugs
3H-2B butanone,D000093,Acetoin,drugs
Acetoin Dehydrogenase,D000094,Acetoin Dehydrogenase,drugs
"Dehydrogenase, Acetoin",D000094,Acetoin Dehydrogenase,drugs
Diacetyl Reductase,D000094,Acetoin Dehydrogenase,drugs
"Reductase, Diacetyl",D000094,Acetoin Dehydrogenase,drugs
Diacetyl Reductase ((R)-Acetoin Forming),D000094,Acetoin Dehydrogenase,drugs
Diacetyl Reductase ((S)-Acetoin Forming),D000094,Acetoin Dehydrogenase,drugs
Acetolactate Synthase,D000095,Acetolactate Synthase,drugs
"Synthase, Acetolactate",D000095,Acetolactate Synthase,drugs
Acetohydroxy Acid Synthase,D000095,Acetolactate Synthase,drugs
"Acid Synthase, Acetohydroxy",D000095,Acetolactate Synthase,drugs
"Synthase, Acetohydroxy Acid",D000095,Acetolactate Synthase,drugs
Acetohydroxy Acid Synthetase,D000095,Acetolactate Synthase,drugs
"Acid Synthetase, Acetohydroxy",D000095,Acetolactate Synthase,drugs
"Synthetase, Acetohydroxy Acid",D000095,Acetolactate Synthase,drugs
Acetolactate Synthetase,D000095,Acetolactate Synthase,drugs
"Synthetase, Acetolactate",D000095,Acetolactate Synthase,drugs
Acetohydroxyacid Synthetase I,D000095,Acetolactate Synthase,drugs
"Synthetase I, Acetohydroxyacid",D000095,Acetolactate Synthase,drugs
Acetoxyhydroxyacid Synthase III,D000095,Acetolactate Synthase,drugs
"Synthase III, Acetoxyhydroxyacid",D000095,Acetolactate Synthase,drugs
Acetone,D000096,Acetone,drugs
Acetonitriles,D000097,Acetonitriles,drugs
Cyanomethane,D000097,Acetonitriles,drugs
Methyl Cyanide,D000097,Acetonitriles,drugs
"Cyanide, Methyl",D000097,Acetonitriles,drugs
Cyanomethanes,D000097,Acetonitriles,drugs
Ethane Nitriles,D000097,Acetonitriles,drugs
"Nitriles, Ethane",D000097,Acetonitriles,drugs
Methyl Cyanides,D000097,Acetonitriles,drugs
"Cyanides, Methyl",D000097,Acetonitriles,drugs
Acetophenones,D000098,Acetophenones,drugs
Acetoxyacetylaminofluorene,D000099,Acetoxyacetylaminofluorene,drugs
Acetoxyacetamidofluorene,D000099,Acetoxyacetylaminofluorene,drugs
Acetoxyfluorenylacetamide,D000099,Acetoxyacetylaminofluorene,drugs
N-Acetoxy-2-acetylaminofluorene,D000099,Acetoxyacetylaminofluorene,drugs
N Acetoxy 2 acetylaminofluorene,D000099,Acetoxyacetylaminofluorene,drugs
N-Acetoxy-N-acetyl-2-aminofluorene,D000099,Acetoxyacetylaminofluorene,drugs
N Acetoxy N acetyl 2 aminofluorene,D000099,Acetoxyacetylaminofluorene,drugs
Acetrizoic Acid,D000100,Acetrizoic Acid,drugs
"Acid, Acetrizoic",D000100,Acetrizoic Acid,drugs
Jodopax,D000100,Acetrizoic Acid,drugs
Salpix,D000100,Acetrizoic Acid,drugs
Triiotrast,D000100,Acetrizoic Acid,drugs
Visotrast 300,D000100,Acetrizoic Acid,drugs
Visotrast 400,D000100,Acetrizoic Acid,drugs
Acetrizoate Sodium,D000100,Acetrizoic Acid,drugs
"Sodium, Acetrizoate",D000100,Acetrizoic Acid,drugs
Acetyl-CoA C-Acetyltransferase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetyl CoA C Acetyltransferase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
"C-Acetyltransferase, Acetyl-CoA",D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetoacetyl CoA Thiolase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
"CoA Thiolase, Acetoacetyl",D000101,Acetyl-CoA C-Acetyltransferase,drugs
"Thiolase, Acetoacetyl CoA",D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetyl-CoA Acetyltransferase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetyl CoA Acetyltransferase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
"Acetyltransferase, Acetyl-CoA",D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetyl Coenzyme A Acetyltransferase,D000101,Acetyl-CoA C-Acetyltransferase,drugs
Acetyl-CoA C-Acyltransferase,D000102,Acetyl-CoA C-Acyltransferase,drugs
Acetyl CoA C Acyltransferase,D000102,Acetyl-CoA C-Acyltransferase,drugs
"C-Acyltransferase, Acetyl-CoA",D000102,Acetyl-CoA C-Acyltransferase,drugs
2-Methylacetoacetyl CoA Thiolase,D000102,Acetyl-CoA C-Acyltransferase,drugs
"CoA Thiolase, 2-Methylacetoacetyl",D000102,Acetyl-CoA C-Acyltransferase,drugs
"Thiolase, 2-Methylacetoacetyl CoA",D000102,Acetyl-CoA C-Acyltransferase,drugs
3-Ketoacyl CoA Thiolase,D000102,Acetyl-CoA C-Acyltransferase,drugs
"CoA Thiolase, 3-Ketoacyl",D000102,Acetyl-CoA C-Acyltransferase,drugs
"Thiolase, 3-Ketoacyl CoA",D000102,Acetyl-CoA C-Acyltransferase,drugs
3-Ketothiolase,D000102,Acetyl-CoA C-Acyltransferase,drugs
3-Oxoacyl CoA Thiolase,D000102,Acetyl-CoA C-Acyltransferase,drugs
"CoA Thiolase, 3-Oxoacyl",D000102,Acetyl-CoA C-Acyltransferase,drugs
"Thiolase, 3-Oxoacyl CoA",D000102,Acetyl-CoA C-Acyltransferase,drugs
3-Oxoacyl-Coenzyme A Thiolase,D000102,Acetyl-CoA C-Acyltransferase,drugs
"Thiolase, 3-Oxoacyl-Coenzyme A",D000102,Acetyl-CoA C-Acyltransferase,drugs
